order_id,product_id,add_to_cart_order,reordered
1,49302,1,1
1,11109,2,1
1,10246,3,0
1,49683,4,0
1,43633,5,1
1,13176,6,0
1,47209,7,0
1,22035,8,1
36,39612,1,0
36,19660,2,1
36,49235,3,0
36,43086,4,1
36,46620,5,1
36,34497,6,1
36,48679,7,1
36,46979,8,1
38,11913,1,0
38,18159,2,0
38,4461,3,0
38,21616,4,1
38,23622,5,0
38,32433,6,0
38,28842,7,0
38,42625,8,0
38,39693,9,0
96,20574,1,1
96,30391,2,0
96,40706,3,1
96,25610,4,0
96,27966,5,1
96,24489,6,1
96,39275,7,1
98,8859,1,1
98,19731,2,1
98,43654,3,1
98,13176,4,1
98,4357,5,1
98,37664,6,1
98,34065,7,1
98,35951,8,1
98,43560,9,1
98,9896,10,1
98,27509,11,1
98,15455,12,1
98,27966,13,1
98,47601,14,1
98,40396,15,1
98,35042,16,1
98,40986,17,1
98,1939,18,1
98,46313,19,1
98,329,20,1
98,30776,21,1
98,36695,22,1
98,27683,23,1
98,15995,24,1
98,27344,25,1
98,47333,26,1
98,48287,27,1
98,45204,28,1
98,24964,29,1
98,18117,30,1
98,46413,31,1
98,34126,32,1
98,9373,33,1
98,22935,34,1
98,46720,35,1
98,44479,36,1
98,790,37,1
98,18441,38,1
98,45007,39,1
98,20520,40,1
98,7461,41,1
98,26317,42,1
98,3880,43,1
98,36364,44,0
98,32463,45,0
98,41387,46,1
98,31066,47,0
98,17747,48,1
98,25659,49,0
112,27104,1,1
112,21174,2,1
112,41860,3,0
112,38273,4,0
112,47209,5,0
112,5876,6,1
112,29217,7,0
112,9047,8,0
112,4549,9,0
112,22425,10,0
112,11776,11,0
170,18394,1,1
170,37766,2,1
170,13176,3,1
170,6236,4,1
170,5077,5,1
170,8153,6,0
170,43772,7,0
170,25591,8,0
170,34582,9,0
170,49593,10,0
170,15093,11,0
170,43841,12,0
170,21137,13,0
170,40354,14,1
170,17794,15,0
170,11182,16,0
170,39190,17,0
218,1194,1,1
218,5578,2,1
218,38159,3,0
218,10305,4,0
218,38557,5,0
226,28199,1,0
226,24852,2,0
226,29883,3,1
226,28427,4,1
226,7754,5,1
226,39947,6,1
226,47307,7,0
226,36291,8,0
226,39275,9,0
226,1940,10,0
226,2040,11,0
226,20711,12,0
226,47501,13,0
349,33000,1,1
349,11361,2,1
349,27695,3,1
349,47672,4,0
349,45633,5,0
349,38015,6,0
349,36968,7,0
349,30830,8,0
349,5115,9,1
349,11520,10,1
349,25715,11,0
393,12078,1,1
393,6184,2,1
393,32403,3,1
393,19828,4,1
393,12341,5,0
393,16797,6,1
393,13424,7,1
393,30591,8,1
456,18196,1,0
456,34229,2,0
456,48118,3,1
456,14992,4,0
456,35365,5,1
456,31506,6,0
456,4972,7,0
456,34591,8,0
456,47626,9,0
473,20082,1,1
473,24852,2,0
473,47144,3,1
473,36441,4,1
473,12206,5,0
473,4034,6,0
473,30573,7,0
473,42404,8,0
631,21137,1,1
631,27344,2,1
631,42265,3,1
631,12211,4,0
631,29740,5,0
631,31717,6,0
631,13829,7,1
631,34358,8,0
631,48204,9,0
631,8424,10,0
631,21405,11,0
631,37307,12,0
631,9203,13,1
631,15842,14,1
631,12545,15,0
631,7509,16,0
631,34126,17,0
719,45683,1,0
762,21137,1,1
762,41220,2,0
762,15872,3,0
762,30391,4,0
774,47482,1,0
774,43335,2,1
774,16108,3,1
844,14992,1,1
844,21405,2,1
844,11182,3,1
844,28289,4,1
844,9387,5,1
844,18599,6,1
844,31766,7,1
878,48070,1,1
878,24852,2,1
878,23044,3,0
878,45066,4,1
878,21903,5,1
878,24964,6,0
878,47209,7,1
878,40706,8,0
878,21616,9,0
878,10305,10,0
878,21137,11,1
878,9076,12,0
878,27104,13,1
878,48679,14,0
878,10749,15,1
878,31717,16,1
878,30720,17,1
878,16759,18,0
878,5876,19,0
878,8193,20,0
878,43789,21,0
878,26209,22,0
878,11262,23,0
878,17652,24,0
878,34913,25,0
878,47156,26,0
878,40174,27,0
878,31343,28,0
904,8013,1,0
904,46149,2,0
915,17417,1,1
915,1582,2,1
915,196,3,1
915,29529,4,1
915,42013,5,1
915,45687,6,1
915,47931,7,1
915,48226,8,1
915,36570,9,1
915,30723,10,1
915,19977,11,0
915,9804,12,0
915,37487,13,0
915,4335,14,0
988,45061,1,0
988,28464,2,0
988,12626,3,0
988,4818,4,1
1001,34966,1,1
1001,23517,2,1
1001,26369,3,1
1001,43961,4,1
1032,11063,1,1
1032,26165,2,1
1032,27966,3,1
1032,8859,4,1
1032,44116,5,1
1032,5450,6,1
1032,9741,7,1
1032,22491,8,1
1032,45343,9,1
1032,32467,10,1
1032,20084,11,1
1032,21901,12,0
1032,44359,13,1
1032,19057,14,0
1032,43122,15,1
1032,8277,16,0
1032,747,17,0
1032,49021,18,0
1032,48465,19,0
1032,29869,20,0
1032,9618,21,0
1032,10089,22,0
1032,2450,23,1
1032,9133,24,0
1032,35352,25,0
1042,24852,1,1
1042,33000,2,1
1042,16083,3,1
1042,10814,4,1
1042,21634,5,0
1042,35140,6,1
1042,23094,7,1
1042,28985,8,1
1077,13176,1,1
1077,39922,2,1
1077,5258,3,1
1077,21137,4,1
1086,13984,1,1
1086,26209,2,1
1086,15261,3,1
1086,24082,4,1
1086,25610,5,1
1119,6046,1,1
1119,47626,2,1
1119,18465,3,1
1119,27104,4,1
1119,8424,5,0
1119,15937,6,1
1120,47211,1,1
1120,45685,2,1
1139,24852,1,1
1139,21137,2,1
1139,34969,3,0
1139,46993,4,0
1139,40396,5,0
1139,45757,6,0
1139,7559,7,0
1139,13431,8,0
1139,1376,9,0
1143,42719,1,1
1143,42097,2,0
1143,36759,3,0
1143,27966,4,1
1143,39275,5,0
1143,47209,6,1
1143,3464,7,0
1143,29307,8,0
1143,47626,9,0
1143,24964,10,1
1143,21405,11,0
1143,42958,12,0
1143,27999,13,0
1143,7552,14,0
1143,12206,15,0
1143,19660,16,0
1143,25466,17,0
1145,24852,1,1
1145,1465,2,1
1145,28083,3,1
1145,29657,4,1
1145,34986,5,0
1145,33651,6,0
1145,33957,7,0
1145,16198,8,1
1145,47409,9,1
1145,24004,10,0
1145,22206,11,1
1145,29487,12,1
1145,31343,13,1
1145,22882,14,1
1145,4697,15,1
1145,21158,16,1
1145,5069,17,1
1145,46522,18,1
1145,12945,19,1
1145,8022,20,0
1145,19658,21,0
1145,11249,22,0
1145,35234,23,1
1145,10673,24,1
1145,37836,25,0
1145,16797,26,1
1145,13417,27,0
1145,47532,28,0
1145,33516,29,0
1145,8841,30,0
1275,6046,1,1
1275,48679,2,0
1275,5450,3,0
1275,31506,4,0
1275,18761,5,0
1280,48186,1,1
1280,49235,2,1
1280,23955,3,1
1280,27845,4,1
1280,39581,5,1
1318,49520,1,1
1318,39375,2,1
1318,27845,3,1
1318,17526,4,1
1325,35914,1,1
1325,13176,2,1
1325,36425,3,1
1325,26165,4,0
1325,3664,5,1
1335,44359,1,1
1335,21903,2,1
1335,49683,3,1
1335,31404,4,1
1335,47209,5,1
1335,11520,6,1
1335,8277,7,1
1335,49111,8,1
1335,27845,9,1
1335,13176,10,1
1342,13176,1,1
1342,30827,2,1
1342,14966,3,1
1342,21137,4,1
1342,46129,5,1
1342,3798,6,1
1342,33081,7,1
1342,7862,8,1
1350,12260,1,0
1350,25042,2,0
1350,38311,3,0
1350,18830,4,0
1350,1017,5,0
1350,37620,6,1
1350,38371,7,0
1350,16714,8,1
1350,30571,9,0
1350,23535,10,0
1350,23776,11,0
1468,24852,1,0
1468,46667,2,0
1468,30024,3,0
1468,41570,4,0
1468,41787,5,0
1468,35530,6,0
1468,27521,7,1
1468,40761,8,0
1468,10385,9,0
1468,18656,10,0
1468,21405,11,1
1468,17794,12,1
1468,34243,13,0
1468,27104,14,1
1468,47209,15,1
1468,24184,16,0
1468,40706,17,0
1571,1194,1,0
1571,778,2,0
1571,28199,3,0
1571,37067,4,0
1572,47977,1,0
1572,36316,2,0
1572,24852,3,1
1572,35951,4,1
1572,38456,5,1
1572,34969,6,1
1572,44910,7,1
1572,43961,8,1
1572,40417,9,1
1572,21903,10,1
1572,13517,11,1
1572,8022,12,1
1572,2545,13,1
1572,29418,14,1
1572,8087,15,1
1572,42701,16,1
1572,36994,17,0
1572,24184,18,1
1572,42342,19,0
1579,35000,1,1
1579,25466,2,1
1579,47380,3,0
1579,42900,4,1
1579,11123,5,1
1591,17203,1,1
1591,44008,2,1
1591,48823,3,1
1591,48205,4,1
1591,41671,5,1
1591,12986,6,1
1591,39758,7,1
1591,27344,8,1
1591,45061,9,0
1591,31215,10,1
1591,17758,11,0
1591,34358,12,1
1591,46473,13,1
1591,27681,14,1
1591,5194,15,0
1591,32520,16,0
1591,9387,17,0
1591,19604,18,1
1591,24852,19,1
1591,5384,20,0
1591,48246,21,0
1591,22105,22,1
1591,40310,23,1
1591,4103,24,0
1591,16900,25,0
1591,18792,26,0
1591,38805,27,0
1591,44116,28,1
1591,25237,29,1
1591,9130,30,1
1591,25316,31,1
1597,20082,1,1
1597,25138,2,1
1597,47759,3,1
1597,38453,4,0
1597,11352,5,1
1597,40009,6,1
1597,2966,7,1
1597,37067,8,1
1597,43394,9,1
1597,1376,10,1
1620,44626,1,0
1620,15887,2,0
1620,1269,3,0
1620,11301,4,1
1620,25743,5,1
1620,34126,6,1
1620,34969,7,1
1620,8670,8,0
1620,11250,9,0
1620,41570,10,0
1620,22312,11,0
1620,43909,12,0
1620,28127,13,0
1620,13093,14,1
1620,30391,15,1
1620,33768,16,1
1620,44099,17,1
1620,12419,18,0
1620,22034,19,0
1620,39812,20,0
1674,15763,1,0
1674,47766,2,0
1674,21903,3,1
1674,22849,4,1
1682,21050,1,1
1682,22935,2,0
1682,16953,3,0
1682,46720,4,1
1682,16823,5,0
1682,41220,6,1
1682,5876,7,1
1682,39993,8,0
1703,39251,1,1
1703,46676,2,1
1703,2086,3,1
1703,5785,4,0
1703,5212,5,1
1703,23375,6,1
1721,38689,1,1
1721,27845,2,1
1721,22260,3,1
1721,5134,4,1
